[277483195, 277483200, 30198589, 30198588, 1289728520, 1458175300, 1458175412, 1458175401, 1458175386, 1458175322, 1458175420, 1289728517, 1458175423, 1458175376, 1289728518, 30198920, 1458175406, 1458175390, 246714040, 246714041, 534929461, 30198914, 534929870, 246714039, 30198916, 30198893, 277393963, 246758180, 246758359, 277397572, 277397573, 277397574, 277397598, 277397575, 277397576, 277397577, 277397578, 277397579, 277397580, 277397581, 277397582, 1227398374, 1227398469, 1227398399, 1227398382, 1227398341, 1227398514, 1227398446, 1227398559, 1227398490, 1227398462, 1514381448, 1514381442, 1514381460, 1514381444, 1227398427, 1514381446, 1514381428, 1514381427, 1227398353, 1514381437, 1227398301, 1514381447, 1514381430, 30198946, 30198939, 1514381420, 1514381455, 30198937, 30198943, 30198941, 30199009, 30199007, 30198959, 276312310, 276312178, 30198962, 276312170, 276311292, 30233209, 276311257, 276311162, 246697737, 276310755, 276310831, 30233210, 276310830, 561041104, 1410301626, 561041121, 561041122]
N 91
W 5353683 -11350844
W 5353632 -11350847
W 5353599 -11350849
W 5353550 -11350851
W 5353512 -11350853
W 5353486 -11350849
W 5353477 -11350849
W 5353469 -11350849
W 5353460 -11350847
W 5353455 -11350846
W 5353450 -11350843
W 5353445 -11350839
W 5353438 -11350827
W 5353434 -11350820
W 5353428 -11350810
W 5353424 -11350789
W 5353423 -11350775
W 5353424 -11350766
W 5353425 -11350745
W 5353432 -11350659
W 5353434 -11350590
W 5353430 -11350524
W 5353420 -11350481
W 5353409 -11350430
W 5353390 -11350285
W 5353387 -11350102
W 5353387 -11349921
W 5353386 -11349884
W 5353387 -11349735
W 5353387 -11349549
W 5353395 -11349466
W 5353410 -11349401
W 5353417 -11349380
W 5353426 -11349349
W 5353465 -11349254
W 5353493 -11349171
W 5353521 -11349060
W 5353554 -11348917
W 5353577 -11348765
W 5353593 -11348615
W 5353596 -11348587
W 5353604 -11348425
W 5353601 -11348346
W 5353591 -11348264
W 5353579 -11348215
W 5353556 -11348176
W 5353531 -11348163
W 5353512 -11348163
W 5353494 -11348170
W 5353448 -11348208
W 5353417 -11348238
W 5353394 -11348252
W 5353383 -11348257
W 5353374 -11348259
W 5353364 -11348257
W 5353354 -11348254
W 5353343 -11348248
W 5353334 -11348239
W 5353327 -11348229
W 5353319 -11348217
W 5353310 -11348199
W 5353302 -11348180
W 5353296 -11348160
W 5353288 -11348092
W 5353285 -11348031
W 5353285 -11347940
W 5353287 -11347916
W 5353291 -11347884
W 5353301 -11347833
W 5353307 -11347751
W 5353308 -11347704
W 5353300 -11347559
W 5353267 -11347400
W 5353229 -11347292
W 5353168 -11347154
W 5353151 -11347120
W 5353101 -11347013
W 5353053 -11346928
W 5352997 -11346828
W 5352947 -11346723
W 5352932 -11346688
W 5352866 -11346532
W 5352835 -11346459
W 5352792 -11346377
W 5352750 -11346297
W 5352713 -11346227
W 5352671 -11346147
W 5352545 -11345922
W 5352530 -11345899
W 5352504 -11345853
W 5352487 -11345827
E
